,author,published_at,updated_at,like_count,text
82,3598_Aditya Nair,2023-08-27T06:14:15Z,2023-08-27T06:14:15Z,0,All this money and they still can&#39;t build toilets or get people out of poverty
83,Dixit,2023-08-27T05:16:07Z,2023-08-27T05:16:07Z,2,<b>Hard times creates strong men</b>
84,Firebrand,2023-08-27T05:04:15Z,2023-08-27T05:04:15Z,1,"NASA is a pioneer. We as Indians respect NASA. However, the research done by any organisation should not end up in destruction of Moon or other celestial bodies."
85,saniya jaswani,2023-08-27T04:16:58Z,2023-08-27T04:16:58Z,1,Dude you are spelling isro wrong. Spell it as iss -roh
86,Pradyu A,2023-08-27T04:13:08Z,2023-08-27T04:13:08Z,0,"If it was before 2014, even this would have costed way more than 2B....😂"
87,rite,2023-08-27T03:01:58Z,2023-08-27T03:01:58Z,0,Mere bhaiyon dusron ko bhi mauka do comment karne ka 😂😂
88,NoItsAyush,2023-08-27T02:26:53Z,2023-08-27T02:26:53Z,0,Fast forward 2 years you have chandrayan
89,Thodarundhu Payanam,2023-08-26T23:54:32Z,2023-08-26T23:55:15Z,2,Something is rotten among western Journalists when they do a reporting on India... Western journalists are filled with jealousness and stomach burns when India had achieved something remarkable when the west is still figuring out how to do it....Western journalism is all about dog journalism(Esp Britain)...
90,Thivia,2023-08-26T23:01:56Z,2023-08-26T23:01:56Z,1,Rip APJ Abdul Kalam
91,eh he boiii • 200 years • and,2023-08-26T20:22:03Z,2023-08-26T20:22:03Z,1,"Hello and Namaste guys, my name is S. Somanath and today I am gonna show you how to land successfully on the moon for just $75 Million."
92,WISUAAMH,2023-08-26T19:41:01Z,2023-08-26T19:41:01Z,0,90 billion for the whole artemis project wtf xD<br>clear 45tril debt first xD
93,Shreya Prabhas,2023-08-26T19:21:02Z,2023-08-26T19:21:02Z,3,"Chandrayan -3 successfully launched my friends, It&#39;s a great success for all of us 💪🏼🇮🇳"
94,Preetham J,2023-08-26T19:07:49Z,2023-08-26T19:07:49Z,2,Nobody is humiliating anybody except a few pretentious YouTube dickheads. Everybody is working for science! Grow up!
95,rk,2023-08-26T18:43:12Z,2023-08-26T18:43:12Z,1,any one here after success of chandrayan 3 ????😂😂😂😁😁
96,Parsa Parsa,2023-08-26T16:22:18Z,2023-08-26T16:22:18Z,0,How can you say it &quot;humiliates&quot; Nasa when nasa has to budget for R&amp;D while other countries simply leech off their findings and discoveries.
97,Jyotirmoy Editz,2023-08-26T16:07:45Z,2023-08-26T16:07:45Z,18,Good to know that Indias Chandrayan 3 mission cost 75 million usd while the movie interstellars budget was 165 million usd...... Lots of respect to the ISRO team
98,The Squishy World,2023-08-26T14:18:29Z,2023-08-26T14:18:29Z,3,bro has spawned in all the indians                                       <br><br><br>where my indians at?👇
99,Atul Sharma,2023-08-26T12:00:09Z,2023-08-26T12:00:09Z,2,"Do you think english men ( white skined people ) want asian countries to develop ?? And gain monopoly. They were the one who made us slaves and remain slaves forever but coudnt. And now just pretend to be good people. They are responsible for mass killings of our people , bengal famine. How can we forget their doings in just 100 years. We indians ( hindus ) have never envaded any other country.. we have belived in progress and these people looted us depleted us of our resources.. pushed us down the drains and now when we are world power they go to speak things so many things , even our military is so powerful..and we can wipe out uk from map."
100,Ntolmadakia,2023-08-26T10:19:49Z,2023-08-26T10:19:49Z,0,SpaceX: Amateurs 💀
101,O.T.B Harmony Limited,2023-08-26T09:37:43Z,2023-08-26T09:37:43Z,0,"Well dude,it&#39;s all about quality. Lower budget means it doesnt have quality as high budget one,I don&#39;t think so it will last long"
102,Crossfire,2023-08-26T08:43:27Z,2023-08-26T08:43:27Z,0,Wow!
103,Dhanush 2025,2023-08-26T08:32:26Z,2023-08-26T08:32:39Z,2,Now Chandrayaan-3 is a sucess
104,R A V E N,2023-08-26T07:51:50Z,2023-08-26T07:51:50Z,0,"You are only humiliating yourself with a stupid video like this. isro&#39;s cost is low because of a smaller currency. NASA has the money, and they can invest it. Simple as that. Achievement is good, but don&#39;t talk shit about others, specially when others are billions of centuries ahead of you."
105,Ꮪ Ꮋ Ꭺ Ꮤ N,2023-08-26T06:53:13Z,2023-08-26T06:53:13Z,5,"You guys call it cheap labour,my friend recently started working at isro as an engineer,and he&#39;s earning a lot. Compared to Indian standards. He bought a new suv car and rebuild his house in the three years he&#39;s been employed. We can literally get peak nutritional food at 1/10th the US price here"
106,richa khaneja,2023-08-26T06:09:23Z,2023-08-26T06:09:23Z,7,Got this in my recommendation after Chandrayaan3 has successfully landed on lunar south pole. This video is very well researched. Kudos 🙌
107,Zero Two,2023-08-26T05:40:47Z,2023-08-26T05:40:47Z,0,although im proud of how smart minds my country posseses when it come such rockets and being extremely cost effective...im afraid to say thats all there is to it we cant really conduct any advanced research or missions which actually advance mankind. like do u hear &quot;india lands rover on mars&quot; or &quot;india discover traces of material on a rock as old as birth of universe&quot;? no. its all just moon and low budget and in india things are cheaper compared to US and im sad to say but there are probably many underpaid and overworked ppl behind the scenes so yea its not all that cool innit. hate me if u want this is true tho
108,indian,2023-08-26T05:38:28Z,2023-08-26T05:38:28Z,0,"as a indian, one thing you should know, this technique use by usa nasa are invented by them and not by any other country, they just use this technique which require far less money, apple invested huge money in r and d but foxconn created same i phone in few dollars, thats the difference, its hard to invent easy to assemble, and we are almost 50 year behind, also the scientist in india earn like 10% of what us scientist earn, thats the reason"
109,Raisoh Khongnoh,2023-08-26T04:46:15Z,2023-08-26T04:46:15Z,0,"This truly showing that India is wanting to reach the sky, what matters and they don&#39;t care about money"
110,Gamer,2023-08-26T04:25:16Z,2023-08-26T04:25:16Z,0,This is an AI sound. An indian posing as foreigner.
111,Asmit,2023-08-26T04:02:36Z,2023-08-26T04:02:36Z,1,Now Chandrayaan-3 is in the hood🔥🔥🔥
112,Deep Joshi,2023-08-26T03:05:17Z,2023-08-26T03:05:17Z,0,Why aren&#39;t people realizing that they were one of the first humans to do that there are so many mistakes made and stuff india did great but to degrade someone else&#39;s work just comparing indians never learn
113,Kim ill dead,2023-08-26T03:02:11Z,2023-08-26T03:02:11Z,0,😂  and it only takes 6 rockets to still not manage what nasa does... 👍
114,Jetsetgo Jetsetgo,2023-08-26T00:21:30Z,2023-08-26T00:21:30Z,0,ISRO to a brilliant space exploration org.
115,Zarin .Mukta,2023-08-25T22:59:23Z,2023-08-25T22:59:23Z,0,Nothing cheap is free. How are the employees at ISRO treated. Because employees at NASA get benefits and have perks. And India is known for cheap labor.
116,Amogus,2023-08-25T20:03:35Z,2023-08-25T20:03:35Z,0,Indian scientists are getting paid 5 times less too lets not forget that. Not that much of a flex
117,Little Monk,2023-08-25T16:55:52Z,2023-08-25T16:55:52Z,1,NASA  is ALL about corruption
118,Car_JD :D,2023-08-25T16:36:09Z,2023-08-25T16:36:09Z,4,now india (we) are the first to land it on south pole on moon\
119,KARTHIK G.R.S,2023-08-25T16:12:49Z,2023-08-25T16:12:49Z,9,"To anyone watching this after 25th August 2023, Chandrayaan 3 was a success and India becomes the first country to soft land on the south pole of the moon! 👏"
120,Ahmed Mohammed,2023-08-25T15:18:39Z,2023-08-25T15:18:39Z,1,I S R O just pronounce it ISRO the same way you pronounce NASA not N A S A smh
121,Mohd Ahil,2023-08-25T13:38:22Z,2023-08-25T13:38:22Z,0,W b know
122,Nicky PlayzYT,2023-08-25T13:05:20Z,2023-08-25T13:05:20Z,1,Love the video. Btw it&#39;s pronounced ISRO (not the individual letters) like the &quot;is&quot; word
123,Gaming Pet,2023-08-25T12:59:34Z,2023-08-25T12:59:34Z,0,May be Chandrayan 3 is not a count on GST. Otherwise it would costed 10 times more. LOL<br>Thank god ISRO is not sold to private yet.<br>Kudos to ISRO team.
124,Eren Jaeger,2023-08-25T12:51:47Z,2023-08-25T12:51:47Z,0,‘Iasaro ‘💀<br><br>wTf BrO
125,Thimath Jayasuriya,2023-08-25T12:47:05Z,2023-08-25T12:47:05Z,0,I think the budget different is because of the payload NASA had a orayan capsule and a equipment to land back on the earth
126,Roshin Parameswaran,2023-08-25T12:36:03Z,2023-08-25T12:36:03Z,1,And India Successfully softlanded the rover on the moon.
127,Pike,2023-08-25T12:17:10Z,2023-08-25T12:17:39Z,1,"Islamic prophet Muhammad (SAW) was the first astronaut as he was the human to go to space and moon. He did that in 7th century. Inshallah, a proud moment for all muslims."
128,Manish Banerjee,2023-08-25T12:16:43Z,2023-08-25T12:17:25Z,5,Hat&#39;s off to the Indian scientists over the ages for their relentless efforts for the service of humanity !! 📴📴📴<br>Proud to be Indian !!<br>Jai Hind ! Jai Bharat ! 🇮🇳
129,Sanjanaa kotyada,2023-08-25T12:08:55Z,2023-08-25T12:10:52Z,0,"For god’s sake: It’s called isro as in a word, not I-S-R-O 😂 but really, ISRO is kinda underestimated. The parts of the first rockets were actually brought to be built via cycles, yes, cycles. (Fun fact: All of the materials used to make the recently landed Chandrayaan 3, were made in India)"
130,rakesh siri,2023-08-25T11:34:55Z,2023-08-25T11:34:55Z,0,"Also please compare the salary of the employees...<br>There will be a lot of gap, and we don&#39;t want to do that, because we cannot compare apples with oranges..."
131,James Buchanan,2023-08-25T11:15:12Z,2023-08-25T11:15:12Z,0,"Couple things to consider:  1) Artemis is going to put boots on the ground.  C3 is one heck of an accomplishment, but comparing it to Artemis is serious false equivalency.  2) Building anything in the US is far more expensive, simply on a measure of economics.   American labor is hella expensive next to literally anyone else on Earth, costs to build are extreme due to the limited amount of competition among established American rocket builders (Lockheed, Northrup Grumman, and Boeing), which leads to competitive bids that are insanely inflated.  Just looking at the operational costs of SpaceX&#39;s new vehicles shines a damning light on the big three&#39;s hugely bloated budgets for orbital class vehicles. <br><br>India&#39;s program doesn&#39;t humiliate NASA&#39;s, India&#39;s achievements are fantastic, but they&#39;re still decades behind NASA&#39;s best accomplishments.   They exist in a significantly different economic paradigm that makes 1 to 1 comparisons futile."
132,Austin Thomas,2023-08-25T11:04:42Z,2023-08-25T11:04:42Z,0,The title of the video is cheap shot at NASA.
133,Dharshun Anand,2023-08-25T10:54:14Z,2023-08-25T10:54:14Z,0,"Meanwhile, this indian launching rockets for free...<br><br><br><br><br><br><br><br>in spaceflight simulator"
134,RamZar,2023-08-25T10:53:56Z,2023-08-25T10:53:56Z,0,"ISRO humiliates NASA!? What NASA has done since the late 1950s to this day has no comparison. On top of that, SpaceX is integral to the US Space program."
135,Ashish,2023-08-25T10:35:45Z,2023-08-25T10:35:45Z,0,Why do i think that you are an indian trying to talk into amerjcan accent?..
136,just a normal 16 year old kid,2023-08-25T10:20:56Z,2023-08-25T10:20:56Z,0,Cycle se chand tak ka safar 🗿
137,just a normal 16 year old kid,2023-08-25T10:09:09Z,2023-08-25T10:09:09Z,5,"Whoo man from the comments i can say these mfs are burning like hell, <br>Brun mfs burn your jealousy will only fuel our success 🇮🇳"
138,k k,2023-08-25T09:49:49Z,2023-08-25T09:49:49Z,0,"If isro built everything in automation and AI, budget can be reduced more"
